,comment_author,star_rating,comment_date,comment_title,comment
2529,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on February 20, 2020",Roasted Seaweed,  Got for my daughter n law and she is from South Korea. She really likes and uses for a lot of different foods.
2530,Ms_Ladi,5.0 out of 5 stars,"Reviewed in the United States on July 18, 2016",What I also love is that the oil isn't spread all over the ...,  Delicious seaweed!  What I also love is that the oil isn't spread all over the package.  This is in the tops of the best seaweed I've had.  Will purchase again from this seller!
2531,joanne,2.0 out of 5 stars,"Reviewed in the United States on May 22, 2020",no flavor,  no flavor & so small
2532,Calvin K.,4.0 out of 5 stars,"Reviewed in the United States on June 29, 2016",Four Stars,  Good seaweeds. Not the best tasting but good enough.
2533,Jenia Curtis,5.0 out of 5 stars,"Reviewed in the United States on August 2, 2016",Very delicious!,  These were very good! Better than I expected! I plan to buy several pks instead of just one!
2534,MATIJA,5.0 out of 5 stars,"Reviewed in the United States on November 12, 2019",Great taste and healthy too.,  Tastes great.Addictive.)
2535,Lisa,5.0 out of 5 stars,"Reviewed in the United States on March 18, 2019",Fast delivery!,  Love this brand. Have ordered several times.
2536,Jeffrey,1.0 out of 5 stars,"Reviewed in the United States on August 24, 2019",FAKE PRODUCT!!!!!,"  I love Kirkland roasted sea weed from Costco. They are crispy with a slight salty taste. I used to eat one or two servings everyday. But recently Costco no longer carry them anymore. So I found them on Amazon and ordered one bag with 8 packs in it. What a fake! The bag wrapping is apparently hand-made. The aluminum wrapping looks genuine. But the plastic containers in it are all deformed. The seaweeds are stale and tasteless. Oh, did I mention the price is twice I paid at Costco warehouse? I am positive this is a fraudulent product. Costco and Amazon  needs to investigate this crime! I threw away the rest of it for safety reasons."
2537,OJOSDEGATO,5.0 out of 5 stars,"Reviewed in the United States on July 20, 2018",I love this snacks,"  I love this snacks. This is my first time trying to eat seaweed and I am very pleased.  I have looked for other similar products but nothing is compared to this one. Although is a little too salty for my taste I can manage and the flavor is great. I just ordered two more boxes, I just wished the price was not so high for 12 units."
2538,Liz13161,1.0 out of 5 stars,"Reviewed in the United States on October 3, 2019",Expired date on products.,  Expired date one moth after of date ordered. I do not recommend ordering this product.
2539,Alibaba,1.0 out of 5 stars,"Reviewed in the United States on October 15, 2019",disappointing buy,  one day shipping but were expired a month ago
2540,Roll_Tide_Roll,4.0 out of 5 stars,"Reviewed in the United States on June 19, 2019",Tasty,"  These are tasty and always fresh.  My only complaint is that they're a little bit on the salty side. That's why I rated them a 4 on flavor. But, they are a great snack."
2541,Adriana alvarez,1.0 out of 5 stars,"Reviewed in the United States on September 27, 2019",No lo recomiendo,  Feoooooooooooo
2542,Fluffyjo,5.0 out of 5 stars,"Reviewed in the United States on September 5, 2019",Great taste!,"  I have ordered Kirkland brand several times now and have never had any problems with them.  They are fresh and tasty.  Personally, I like them AFTER they have sat open for a few hours, they don't break when I fold them.  This is an awesome snack AND they contain iodine...something really needed since I do not use iodized table salt."
2543,E. D.,5.0 out of 5 stars,"Reviewed in the United States on September 8, 2018",low calorie snack thats actually good for,"  not too salty and a healthy crunchy, low calorie snack thats actually good for you"
2544,Anna R.,5.0 out of 5 stars,"Reviewed in the United States on July 14, 2019",Great healthy snack,  Great healthy snack. Good taste. Crunchy. Lightly salted.
2545,k12,1.0 out of 5 stars,"Reviewed in the United States on October 4, 2019",Expired product,  Received item on 9/27 and was past expiration date. Very unhappy with purchase
2546,Natalie Itliong Fechter,5.0 out of 5 stars,"Reviewed in the United States on October 18, 2019",Best flavored seaweed,  Love the flavor. The only place I know where to get these are Costco and amazon. Bit expensive here but I don't have Costco membership so it'll have to do. This is the best flavored seaweed out there.
2547,Frogger,5.0 out of 5 stars,"Reviewed in the United States on March 7, 2019",Delicious and large portions,  I bought these at Costco in Canada and would bring back a bunch in my suitcase on every visit. Finally found where I could just order them online from Florida!
2548,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on February 16, 2020","Great product, always fresh","  We have come to love seaweed as a family and Kirkland, by far, is the best deal.  We get the most for our money and we believe it tastes great.  The brand that comes through Prime is much more expensive per ounce and we just don't think it tastes good enough to justify the higher cost for less product.  So, we are thankful that marketplace offers other vendors who give better deals the opportunity to sell where we can buy a better choice for us through Amazon!"
2549,D,1.0 out of 5 stars,"Reviewed in the United States on October 22, 2019",Expired!,  All of the packages were expired by at least a few weeks when they arrived.
2550,MARYANNE M.,1.0 out of 5 stars,"Reviewed in the United States on December 11, 2019",Yuck!!!,  Taste terrible but if you like seaweed you’ll love these.
2551,kellie w,1.0 out of 5 stars,"Reviewed in the United States on January 29, 2019",GROSS,  THIS TASTE AWFUL!
2552,Lesley Shaw,1.0 out of 5 stars,"Reviewed in the United States on September 25, 2019",Way cheaper version at Yummy Bazaar,  Waaaay cheaper version  at yummy bazaar
2553,Yekaterina Reznik,2.0 out of 5 stars,"Reviewed in the United States on May 12, 2019",Sadly Stale,  I have ordered these before and they were great but this last order tasted very stale.
2554,JV,5.0 out of 5 stars,"Reviewed in the United States on February 4, 2020","Tasty, low- calorie snacks.  Yum.","  Seaweed is a nutritious and low-cal snack that comes in packs of thin wafers.  They have a faint scent of seaweed on a beach, but are easy to munch on.  Are slightly salty and oily, like most snack items."
2555,Mary,5.0 out of 5 stars,"Reviewed in the United States on June 10, 2019",Tasty!,  Absolutely love this stuff
2556,JPL,5.0 out of 5 stars,"Reviewed in the United States on January 6, 2020",Healthy Alternative,  Healthy alternative for snacking but drink plenty of water. The sea salt is powerful after a few.
2557,Eryca,2.0 out of 5 stars,"Reviewed in the United States on September 20, 2019",Expired Product,  This was exactly what I wanted. The only downfall is that the product that was sent to me was expired by over a week... I’d like to have received a fresh product
2558,LamaMama,5.0 out of 5 stars,"Reviewed in the United States on November 23, 2019",Addictive,"  I love them. Generous-size pack, nice flavor, good price. I appreciate that they are organic. Addictive."
2559,E J D,5.0 out of 5 stars,"Reviewed in the United States on June 17, 2020",AWESOME......WORTH THE “$” !!!,  AWESOME......WORTH THE “$” !!!
2560,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on October 9, 2019",Watch out,"  I was sent an expired product! Even better, they were stale. Be sure to read reviews! 🧐"
2561,Juliane M Brown,5.0 out of 5 stars,"Reviewed in the United States on January 21, 2019",Great snack,  Great snack but you need to develop a taste for them
2562,Jacks,5.0 out of 5 stars,"Reviewed in the United States on September 18, 2019",It’s seaweed alright!,  I mean they are what they are!Soon going to make homemade musubi’s! :)
2563,Amanda,5.0 out of 5 stars,"Reviewed in the United States on January 8, 2020",Tastes good,  Taste good. Lots of seaweed.
2564,jeffrey Sibille,5.0 out of 5 stars,"Reviewed in the United States on March 1, 2020",Great,"  Delicious , expensive"
2565,Learsej,5.0 out of 5 stars,"Reviewed in the United States on September 24, 2019",Tastes GReaaaaaAt! But i think its 100% price mark up,"  Its fresh and taste great, but way too expensive, i think i wont buy this again"
2566,@Aurathiel,5.0 out of 5 stars,"Reviewed in the United States on July 22, 2020",Better price than other products,  Kirklands used to have a non organic cheaper option which I really liked. I’m only able to get this version organic. Still very good. My kids love to eat it as a snack. Pricing is still much better compared to other similar products
2567,Jaime Friedland,1.0 out of 5 stars,"Reviewed in the United States on August 13, 2019",Expired,  This product arrived past the Expiration date
2568,JBroyles,5.0 out of 5 stars,"Reviewed in the United States on June 13, 2020",my favorite seaweed,"  I love this seaweed so much. I can eat a whole package in one sitting. I do not like that it is quite a bit more expensive than I can get it at Costco, but you can't beat the free delivery."
2569,Joelle,4.0 out of 5 stars,"Reviewed in the United States on July 7, 2019",Very Salty- You can see the salt on the seaweed,"  I love salt, but it had so much salt on it that you could see it and feel it crack in your mouth."
2570,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on December 18, 2019",Love it,  Love it so delicious
2571,juicer4life,5.0 out of 5 stars,"Reviewed in the United States on July 6, 2019",Great for the munchies,  Love this
2572,JT,5.0 out of 5 stars,"Reviewed in the United States on January 16, 2019",Healthy snack,  I love seaweed for a snack this hits the spot.
